location,location_type,iso_3166,iso_3166_2
St-Mathieu de Rioux,municipality,,
St-Mathieur,municipality,,
St-Maurice,municipality,,
St-Maxime de Scott,municipality,,
St-Maxime-de-Scott,municipality,,
St-Mdoeste de Whitworth,municipality,,
St-Methode,municipality,,
St-Michael,municipality,,
St-Michael Archange,municipality,,
St-Michael d'Yamaska,municipality,,
St-Michel,municipality,,
St-Michel Archange,municipality,,
St-Michel d'Yamaska,municipality,,
"St-Michel d'Yamaska, par",municipality,,
St-Michel de Mistassini,municipality,,
"St-Michel, village",municipality,,
St-Modeste,municipality,,
St-Modeste de Whitworth,municipality,,
"St-Moise, par",municipality,,
"St-Moise, vilage",municipality,,
"St-Moise, village",municipality,,
St-Méthode,municipality,,
St-Narcisse,municipality,,
St-Nazaire,municipality,,
St-Nicholas,municipality,,
St-Nicholas sud,municipality,,
St-Nicolas-Sud,municipality,,
St-Norbert,municipality,,
St-Norbert du Cap Chatte,municipality,,
St-Octave de Metis,municipality,,
St-Octave de Metis Sud,municipality,,
"St-Octave de Metis, sud",municipality,,
St-Octave de Métis,municipality,,
"St-Octave de Métis, par",municipality,,
St-Octave-de-Metis,municipality,,
St-Omer,municipality,,
St-Onesime,municipality,,
St-Onesime d'Ixworth,municipality,,
"St-Ours, ville",municipality,,
St-Pacome,municipality,,
St-Pamphile,municipality,,
St-Pascal,municipality,,
St-Paschal,municipality,,
St-Patrice de Beaurivage,municipality,,
St-Paul de l'Ile aux Noix,municipality,,
St-Paul de la Croix,municipality,,
St-Paul l'Ermite,municipality,,
"St-Paul, village",municipality,,
St-Paulin,municipality,,
St-Philemon,municipality,,
St-Philippe,municipality,,
St-Philippe de Neri,municipality,,
St-Philippe de Néri,municipality,,
St-Philémon,municipality,,
St-Pie Deguire,municipality,,
St-Pie de Guire,municipality,,
"St-Pie, village",municipality,,
St-Pierre,municipality,,
St-Pierre Baptiste,municipality,,
St-Pierre I.O.,municipality,,
St-Pierre de Broughton,municipality,,
St-Pierre de Verone,municipality,,
St-Pierre de Vérone à Pike River,municipality,,
St-Pierre de la Rivière du Sud,municipality,,
St-Pierre du Lac,municipality,,
St-Pierre les Becquets,municipality,,
"St-Pierre, ville (town)",municipality,,
St-Pierre-de-Verone,municipality,,
St-Pierre-du-Lac,municipality,,
St-Placide,municipality,,
"St-Polycarge, village et paroisse",municipality,,
St-Polycarpe,municipality,,
"St-Polycarpe, par",municipality,,
"St-Polycarpe, paroisse",municipality,,
"St-Polycarpe, village",municipality,,
St-Prime,municipality,,
"St-Prime, village",municipality,,
St-Raphael,municipality,,
"St-Raphael, partie sud",municipality,,
"St-Raphael, village",municipality,,
"St-Raphaèl, partie Sud",municipality,,
St-Raymond,municipality,,
St-Raymond de Pennafort,municipality,,
"St-Raymond, Paroisse",municipality,,
"St-Raymond, parish",municipality,,
"St-Raymond, paroisse (parish)",municipality,,
"St-Raymond, village",municipality,,
St-Redempteur,municipality,,
St-Remi,municipality,,
St-Remi du L. aux S.,municipality,,
St-Remi du Lac-au-Sable,municipality,,
St-Robert,municipality,,
St-Roch de Richelieu,municipality,,
St-Roch de l'Achgan,municipality,,
St-Roch de l'Achigan,municipality,,
St-Roch des Aulnaies,municipality,,
St-Romauld,municipality,,
St-Romauld d'Etchemin,municipality,,
St-Romuald,municipality,,
St-Romuald d'Etchemin,municipality,,
St-Rosaire,municipality,,
St-Rose,municipality,,
St-Rémi de Tingwick,municipality,,
St-Rémi du Lac auc Sables,municipality,,
St-Rémi du Lac aux Ables,municipality,,
St-Rémi du Lac aux Sables,municipality,,
St-Rémi village,municipality,,
"St-Rémi, paroisse",municipality,,
"St-Rémi, village",municipality,,
St-Samuel de Gayhurst,municipality,,
St-Sauver des Montagnes,municipality,,
St-Sauveur,municipality,,
St-Sauveur des Monts,municipality,,
St-Sauveur-des-Monts,municipality,,
"St-Scharles, par",municipality,,
St-Sebastien d'Aylmer,municipality,,
St-Severin,municipality,,
St-Simeon,municipality,,
"St-Simeon, village",municipality,,
St-Simon,municipality,,
St-Simon de Ramsay,municipality,,
St-Simon de la Baie Ha Ha,municipality,,
St-Simon de la Baie du Ha Ha,municipality,,
St-Siméon,municipality,,
"St-Siméon, paroisse",municipality,,
"St-Siméon, village",municipality,,
St-Stanislas,municipality,,
St-Stanislas de Kotska,municipality,,
St-Stiméon,municipality,,
St-Sylvere,municipality,,
St-Sylvestre,municipality,,
St-Sylvère,municipality,,
St-Sébastien,municipality,,
St-Telesphore,municipality,,
St-Theodore d'Acton,municipality,,
St-Theophile,municipality,,
St-Theophile-du-Lac,municipality,,
St-Thoman de Foucault,municipality,,
St-Thomas,municipality,,
St-Thomas d'Aquin,municipality,,
St-Thomas de North Jersey,municipality,,
St-Thomas de Pierreville,municipality,,
St-Thuribe,municipality,,
St-Théodore d'Acton,municipality,,
St-Théophile,municipality,,
St-Timothe,municipality,,
St-Timothee,municipality,,
St-Timothée,municipality,,
"St-Timothée, paroisse",municipality,,
"St-Timothée, village",municipality,,
St-Tite des Caps,municipality,,
St-Tite-des-Caps,municipality,,
St-Télesphore,municipality,,
St-Télésphore,municipality,,
St-Ubald,municipality,,
"St-Ubald, paroisse",municipality,,
"St-Ubald, village",municipality,,
"St-Ubalde, paroisse",municipality,,
St-Ulric,municipality,,
St-Ulric de la Rivière Blanche,municipality,,
"St-Ulric, par",municipality,,
"St-Ulric, village",municipality,,
St-Urbain,municipality,,
St-Urbain Premier,municipality,,
St-Valentin,municipality,,
St-Valere de Bulstrode,municipality,,
St-Valerien,municipality,,
St-Valerien de Milton,municipality,,
St-Valier,municipality,,
St-Valère de Bulstrode,municipality,,
St-Valérien,municipality,,
St-Valérien de Milton,municipality,,
St-Venant d'Hereford,municipality,,
St-Vincent de Paul,municipality,,
St-Vital de Lambton,municipality,,
St-Wenceslas,municipality,,
St-Zenon du Lac Humqui,municipality,,
"St-Zotique, village",municipality,,
St-Zéphirin de Courval,municipality,,
"St-fsidore, village",municipality,,
"St-jean Chrysostome, village",municipality,,
St-jean Port Joli,municipality,,
St-jean l'Evangéliste,municipality,,
St-urbain 1er,municipality,,
"Stanbrdge, c'ton - t'ship",municipality,,
Stanbridge,municipality,,
Stanbridge Nord,municipality,,
Stanbridge Station,municipality,,
Stanfold,municipality,,
"Stanfold, canton (township)",municipality,,
Stanford,municipality,,
Stanstead,municipality,,
Stanstead Palin,municipality,,
Stanstead Plain,municipality,,
"Stanstead Plain, village",municipality,,
"Stanstead, canton",municipality,,
Stanstead-Plain,municipality,,
Station du Coteau,municipality,,
Station du Côteau,municipality,,
Ste-Adelaide de Pabos,municipality,,
Ste-Adele,municipality,,
Ste-Adèle,municipality,,
"Ste-Adèle, paroisse",municipality,,
Ste-Agathe,municipality,,
"Ste-Agathe, parish",municipality,,
"Ste-Agathe, town",municipality,,
"Ste-Agathe, village",municipality,,
Ste-Anastasie de Nelson,municipality,,
Ste-Andre Avellin,municipality,,
Ste-Angele,municipality,,
"Ste-Angele de Merici, par",municipality,,
"Ste-Angele de Merici, paroisse",municipality,,
"Ste-Angele de Merici, village",municipality,,
"Ste-Angele, village",municipality,,
Ste-Angele-de-Laval,municipality,,
Ste-Angelique,municipality,,
Ste-Anglèle de Laval,municipality,,
Ste-Angèle,municipality,,
Ste-Angèle de Mérici,municipality,,
"Ste-Angèle de Mérici, village",municipality,,
Ste-Angélique,municipality,,
Ste-Anne,municipality,,
Ste-Anne de Ballevue,municipality,,
Ste-Anne de Beaupre,municipality,,
"Ste-Anne de Beaupre, village",municipality,,
Ste-Anne de Beaupré,municipality,,
Ste-Anne de Bellevue,municipality,,
Ste-Anne de Chicoutimi,municipality,,
Ste-Anne de Lapocatiere,municipality,,
Ste-Anne de Neuville,municipality,,
Ste-Anne de Sorel,municipality,,
Ste-Anne de Stukely,municipality,,
Ste-Anne de la Perade,municipality,,
Ste-Anne de la Perade paroisse (parish),municipality,,
Ste-Anne de la Perade village,municipality,,
"Ste-Anne de la Perade, parish",municipality,,
"Ste-Anne de la Perade, paroisse (parish)",municipality,,
"Ste-Anne de la Perade, village",municipality,,
Ste-Anne de la Pocatiere,municipality,,
Ste-Anne de la Pocatière,municipality,,
Ste-Anne de la Pérade,municipality,,
Ste-Anne des Monts,municipality,,
Ste-Anne des Plaines,municipality,,
Ste-Anne du Bont de l'Isle,municipality,,
Ste-Anne du Bout de l'Ile,municipality,,
"Ste-Anne, village",municipality,,
Ste-Barbe,municipality,,
Ste-Brigide,municipality,,
Ste-Brigitte des Saults,municipality,,
Ste-Catherine,municipality,,
Ste-Catherine de Fossambault,municipality,,
Ste-Cecile de Levrard,municipality,,
Ste-Cecile de Whitton,municipality,,
"Ste-Cecile, paroisse",municipality,,
"Ste-Cecile, village",municipality,,
Ste-Christine,municipality,,
Ste-Christophe,municipality,,
Ste-Claire,municipality,,
Ste-Claire d'Assise,municipality,,
Ste-Claire de Joliette,municipality,,
Ste-Clotilde,municipality,,
Ste-Clotilde de Horton,municipality,,
Ste-Croix,municipality,,
Ste-Cécile de Milton,municipality,,
Ste-Cécile de Whitton,municipality,,
"Ste-Cécile, paroisse",municipality,,
"Ste-Cécile, village",municipality,,
Ste-Dominique,municipality,,
Ste-Edwidge,municipality,,
Ste-Edwidge de Clifton,municipality,,
Ste-Elisabeth,municipality,,
Ste-Elizabeth,municipality,,
Ste-Elizabeth de Warwick,municipality,,
Ste-Euallie,municipality,,
Ste-Eulalie,municipality,,
Ste-Euphémie,municipality,,
Ste-Famille,municipality,,
Ste-Famille I.O.,municipality,,
"Ste-Famille, I.O.",municipality,,
Ste-Flavie,municipality,,
Ste-Flavie de Lepage,municipality,,
Ste-Flore,municipality,,
Ste-Flore Est,municipality,,
Ste-Flore Est-East,municipality,,
Ste-Flore partie Est,municipality,,
"Ste-Flore, partie Est",municipality,,
"Ste-Flore, partie est",municipality,,
Ste-Florence,municipality,,
Ste-Foy,municipality,,
Ste-Foye,municipality,,
Ste-Fpy,municipality,,
Ste-Francoise,municipality,,
Ste-Françoise,municipality,,
Ste-Félicité,municipality,,
Ste-Genevieve de Batiscan,municipality,,
Ste-Genevieve de P,municipality,,
"Ste-Geneviève, village",municipality,,
Ste-Germaine,municipality,,
Ste-Germaine de L'Anse aux Gascons,municipality,,
Ste-Germaine du Lac Etchemin,municipality,,
Ste-Gertrude,municipality,,
"Ste-Géneviève, paroisse",municipality,,
Ste-Helene,municipality,,
Ste-Helene de Breakeyville,municipality,,
Ste-Henedine,municipality,,
Ste-Hélène,municipality,,
Ste-Hélène de Breakeyville,municipality,,
Ste-Hénédine,municipality,,
Ste-Jeanne de Neuville,municipality,,
"Ste-Jeanne de Neuville, paroisse (parish)",municipality,,
"Ste-Jeanne de Neuville, village",municipality,,
"Ste-Jeanne de Neuville, ville (town)",municipality,,
Ste-Jerusalem,municipality,,
Ste-Julienne,municipality,,
Ste-Julienne de Rawdon,municipality,,
Ste-Justine,municipality,,
Ste-Justine de Langevin,municipality,,
Ste-Justine de Newton,municipality,,
Ste-Justine de lLangevin,municipality,,
Ste-Louise,municipality,,
Ste-Luce,municipality,,
Ste-Lucie,municipality,,
Ste-Madeleine,municipality,,
Ste-Madeleine de a Riviere Madeleine,municipality,,
Ste-Marguerite,municipality,,
Ste-Marguerite de Blairfindie,municipality,,
Ste-Marguerite du Lac Masson,municipality,,
Ste-Marie Madeleine,municipality,,
Ste-Marie Salomée,municipality,,
Ste-Marie de Blandford,municipality,,
Ste-Marie de Monnoir,municipality,,
"Ste-Marie, paroisse",municipality,,
"Ste-Marie, paroisse (parish)",municipality,,
"Ste-Marie, village",municipality,,
Ste-Marthe,municipality,,
Ste-Marthe du Cap Madeleine,municipality,,
Ste-Martine,municipality,,
Ste-Martine de Beauharnois,municipality,,
Ste-Melanie,municipality,,
Ste-Monique,municipality,,
"Ste-Monique, paroisse",municipality,,
Ste-Pereptue,municipality,,
Ste-Perpetue,municipality,,
Ste-Perpétue,municipality,,
Ste-Philomene,municipality,,
Ste-Philomene de Fortierville,municipality,,
"Ste-Philomene, paroisse (parish)",municipality,,
Ste-Philomène,municipality,,
"Ste-Prudentienne, village",municipality,,
Ste-Pudentienne,municipality,,
"Ste-Pudentienne, par",municipality,,
"Ste-Pudentienne, village",municipality,,
Ste-Rosalie,municipality,,
Ste-Rose de Watford,municipality,,
Ste-Rose du Degele,municipality,,
Ste-Rose du Degelee,municipality,,
Ste-Rose du Dégelé,municipality,,
Ste-Rose du Dégelée,municipality,,
Ste-Rose du Dégélé,municipality,,
Ste-Rose-du-Degele,municipality,,
Ste-Sabine,municipality,,
"Ste-Scholastique, par",municipality,,
"Ste-Scholastique, village",municipality,,
"Ste-Scholastique, village et paroisse",municipality,,
"Ste-Scholastique, ville",municipality,,
Ste-Sophie,municipality,,
Ste-Sophie de Lacorne,municipality,,
Ste-Sophie de Levrard,municipality,,
Ste-Sophie de Lévrard,municipality,,
"Ste-Terese, village",municipality,,
Ste-Therese,municipality,,
"Ste-Therese, village",municipality,,
"Ste-Therese, ville",municipality,,
"Ste-Thècle, village et paroisse",municipality,,
Ste-Théodosie,municipality,,
Ste-Thérèse,municipality,,
"Ste-Thérèse, ville",municipality,,
Ste-Ursule,municipality,,
Ste-Victoire,municipality,,
StepClaire,municipality,,
Stoke,municipality,,
Stoke Centre,municipality,,
"Stoke, c'ton - t'ship",municipality,,
"Stoke, canton",municipality,,
Stoneham,municipality,,
Stratford,municipality,,
Stt-Alban de Cap des Rosiers,municipality,,
Stuckely Nord (North0,municipality,,
Stuckely Sud (South),municipality,,
Stukely Sud,municipality,,
"Stukely, Sud",municipality,,
Suffolk,municipality,,
Suffolk et Addington,municipality,,
"Sutton, canton",municipality,,
"Sutton, village",municipality,,
Sweetsburg,municipality,,
Sydenham Sud,municipality,,
Tadoussac,municipality,,
"Tadoussac, paroisse (parish)",municipality,,
"Tadoussac, village",municipality,,
Temiscamingue,municipality,,
Temiscamingue ville,municipality,,
"Temiscamingue, ville",municipality,,
"Temiscaminue, ville",municipality,,
Templeton Est,municipality,,
Templeton-Est,municipality,,
Terrebonne,municipality,,
"Terrebonne, town",municipality,,
"Terrebonne, ville",municipality,,
"Terrebonne, ville (town)",municipality,,
"Terrebonne, ville - town",municipality,,
Territoire non organis,municipality,,
Territoire non organise,municipality,,
Territoire non organise - non organized,municipality,,
Territoire non organisé,municipality,,
Territoire non organizses - non organized,municipality,,
Territoires non organisés,municipality,,
Territories non organises,municipality,,
Terrtoire non organise,municipality,,
Thetford Mines,municipality,,
"Thetford Mines, cité",municipality,,
Thorne,municipality,,
Thurso,municipality,,
Tingwick,municipality,,
Tourville,municipality,,
Tres Saint Sacrement,municipality,,
Tres-Saint-Sacrement,municipality,,
Tres-St-Sacrement,municipality,,
Tring Junction,municipality,,
Trois Pistoles,municipality,,
Trois Rivieres,municipality,,
Trois-Pistoles,municipality,,
"Trois-Pistoles, paroisse",municipality,,
"Trois-Pistoles, village",municipality,,
"Trois-Pistoles, villages",municipality,,
"Trois-Pistoles, ville",municipality,,
"Trois-Pistoles, villle",municipality,,
Trois-Riveres,municipality,,
Trois-Rivieres,municipality,,
Trois-Rivières,municipality,,
Trois-Rivièrs,municipality,,
Trois-Rivères,municipality,,
Très Saint Sacrement,municipality,,
Très Saint-Sacrement,municipality,,
Trécesson,municipality,,
Turgeon,municipality,,
"Turgeon, canton (township)",municipality,,
Témiscamingue,municipality,,
Témiscamingue ville,municipality,,
"Témiscamingue, ville",municipality,,
"Upton, village",municipality,,
Val Barette,municipality,,
Val Brillant,municipality,,
Val Brilliant,municipality,,
Val Jalberrt,municipality,,
Val Jalbert,municipality,,
Valeyfield,municipality,,
Valletfield,municipality,,
Valleyfield,municipality,,
Valleyville,municipality,,
Varennes,municipality,,
"Varennes, village",municipality,,
Vaudreuil,municipality,,
"Vaudreuil, par",municipality,,
"Vaudreuil, parish",municipality,,
"Vaudreuil, paroisse",municipality,,
"Vaudreuil, village",municipality,,
"Vaudreuil,village",municipality,,
Vaundreuil paroisse (parish),municipality,,
"Vaundreuil, paroisse",municipality,,
"Vercheres, village",municipality,,
"Verchères, village",municipality,,
"Verchères, village et paroisse",municipality,,
Verdun,municipality,,
"Verdun, Cité",municipality,,
"Verdun, cité",municipality,,
Verund,municipality,,
Victoriaville,municipality,,
"Victoriaville, par",municipality,,
Villaneuve,municipality,,
Ville St-Perre,municipality,,
Ville St-Pierre,municipality,,
Ville-Marie,municipality,,
Villers,municipality,,
Villle St-Pierre,municipality,,
"Wabassee, Dudley et Bouthillier",municipality,,
Wakefield,municipality,,
"Wakefield, c'ton - t'ship",municipality,,
"Wakefield, canton",municipality,,
"Wakefield, partie Est",municipality,,
"Wakefield, viillage",municipality,,
"Wakefield, village",municipality,,
Waltham & Bryson,municipality,,
Warden,municipality,,
Warwick,municipality,,
Waterloo,municipality,,
"Waterloo, village",municipality,,
"Waterloo, ville",municipality,,
Waterville,municipality,,
Watford Ouest,municipality,,
Watford Ouest (West),municipality,,
Watford-Ouest (West),municipality,,
Weedon,municipality,,
Weedon Cantre,municipality,,
Weedon Center,municipality,,
Weedon Centre,municipality,,
"Weedon, c'ton - t'ship",municipality,,
Wentworth,municipality,,
West Bolton,municipality,,
Westbury,municipality,,
Westmount,municipality,,
Whithworth,municipality,,
Whitton,municipality,,
Whitton Nord (north),municipality,,
"Whitton, Nord",municipality,,
Whitworth,municipality,,
Wickham,municipality,,
Wickham Ouest,municipality,,
Windsor,municipality,,
Windsor mills,municipality,,
"Windsor, c'ton - t'ship",municipality,,
"Windsor, canton",municipality,,
"Windsor, ville",municipality,,
"Windsor, ville (town)",municipality,,
Winslow Nord,municipality,,
Winslow Sud (South),municipality,,
"Wolde, c'ton - t'ship",municipality,,
Wolfe,municipality,,
Wolfe cant (township),municipality,,
"Wolfe, canton",municipality,,
"Wolfe, canton township)",municipality,,
Woodbridge,municipality,,
Wotton,municipality,,
Wottonville,municipality,,
"Wright, c'ton -t'ship",municipality,,
"Wurtele, Moreau et Gravel",municipality,,
YUKON,,CA,CA-YT
YUKON,province,CA,CA-YT
Yamachiche,municipality,,
"Yamachiche, paroisse",municipality,,
"Yamachiche, paroisse (parish)",municipality,,
"Yamachiche, village",municipality,,
Yamaska,municipality,,
"Yamaska, paroisse",municipality,,
"Yamaska, village",municipality,,
"Yamaska, villlage",municipality,,
York,municipality,,
Yukon,,CA,CA-YT
Yukon,province,CA,CA-YT
Yukon Territory,prov,CA,CA-YT
ile du Calumet,municipality,,
lachine,municipality,,
"morin, partie sud - South part",municipality,,
